Date,Country,Country ISO,Admin 1,Latitude,Longitude,Geo Precision,Reported Perpetrator,Reported Perpetrator Name,Weapon Carried/Used,Food System Impact,All Food Security Categories,Event ID,Date Event Entered,Date Event Modified,Year,Month,post_oct7
2025-08-30,OPT,PSE,Gaza Strip,31.5026779629,34.4648422063,(5) Linear feature e.g. along a road or river,Host Government: Military,Israeli Defence Forces,Firearms,Aid Systems,"Incident Affecting People Seeking Food Aid, Attack On Distribution Site",117518,2025-10-02,2025-10-03,2025,8,1
2025-09-03,OPT,PSE,Gaza Strip,31.5349,34.4667,(2) 25 km precision,Host Government: Military,Israeli Defence Forces,Aerial Bomb: Plane,Food Supply,Attack On a Market/Restaurant/Supermarket/Bakery,117866,2025-10-05,2025-10-05,2025,9,1
2025-08-30,OPT,PSE,Gaza Strip,31.4203604,34.3721462,"(3) District, Municipality or Commune",Host Government: Military,Israeli Defence Forces,Firearms,Aid Systems,"Attack On Aid Workers Carrying Out Food-Related Programme, Incident Affecting People Seeking Food Aid, Attack On Distribution Site",118763,2025-10-13,2025-10-14,2025,8,1
2025-08-30,OPT,PSE,Gaza Strip,31.4705461623,34.432179348,(5) Linear feature e.g. along a road or river,Host Government: Military,Israeli Defence Forces,Firearms,Aid Systems,"Incident Affecting People Seeking Food Aid, Attack On Distribution Site",118798,2025-10-14,2025-10-14,2025,8,1
2025-08-29,OPT,PSE,Gaza Strip,31.4482157917,34.393408289,(2) 25 km precision,Host Government: Military,Israeli Defence Forces,Firearms,Aid Systems,"Incident Affecting People Seeking Food Aid, Attack On Distribution Site",117005,2025-09-24,2025-09-26,2025,8,1
2025-08-29,OPT,PSE,Gaza Strip,31.4544395149,34.4118959709,(2) 25 km precision,Host Government: Military,Israeli Defence Forces,Artillery,Aid Systems,"Incident Affecting People Seeking Food Aid, Attack On Distribution Site",117516,2025-10-02,2025-10-03,2025,8,1
2025-08-29,OPT,PSE,Gaza Strip,31.4178,34.3503,(2) 25 km precision,Host Government: Military,Israeli Defence Forces,Aerial Bomb: Drone,People Carrying Out Food Activity,Attack On Persons Carrying Out Food Activity,117817,2025-10-05,2025-10-05,2025,8,1
2025-08-29,OPT,PSE,Gaza Strip,31.3739,34.3409,(2) 25 km precision,Host Government: Military,Israeli Defence Forces,Unspecified Explosive,People Carrying Out Food Activity,Attack On Persons Carrying Out Food Activity,117819,2025-10-05,2025-10-05,2025,8,1
2025-08-30,OPT,PSE,Gaza Strip,31.5356020826,34.4470303046,(2) 25 km precision,Host Government: Military,Israeli Defence Forces,Aerial Bomb: Plane,Food Supply,Attack On a Market/Restaurant/Supermarket/Bakery,117066,2025-09-25,2025-10-04,2025,8,1
2025-08-28,OPT,PSE,Gaza Strip,31.2830204,34.2805069,(2) 25 km precision,Host Government: Military,Israeli Defence Forces,Firearms,Aid Systems,"Incident Affecting People Seeking Food Aid, Attack On Distribution Site",117257,2025-09-28,2025-10-06,2025,8,1
